StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
1106350,25,20000539,2,2024,Dwight Powell,DAL,C,0,3,29.10,36,25,4.00,6.00,66.7,4.00,5.00,80.0,0.00,1.00,0,4.00,5.00,80.0,2.00,6.00,8.00,3.00,2.00,1.00,3.00,7.00,12.00,32.10,31.00,17.00,0.00,0.00
1106351,25,20000574,2,2024,Kyrie Irving,DAL,PG,2,2,55.30,40,31,7.00,21.00,33.3,3.00,9.00,33.3,4.00,12.00,33.3,1.00,1.00,100,0.00,9.00,9.00,13.00,2.00,2.00,2.00,0.00,19.00,59.30,60.25,-10.00,1.00,0.00
1106352,16,20000635,2,2024,Mike Conley,MIN,PG,3,3,33.00,43,5,4.00,6.00,66.7,1.00,1.00,100,3.00,5.00,60.0,3.00,3.00,100,0.00,5.00,5.00,8.00,3.00,0.00,5.00,3.00,14.00,36.00,37.25,10.00,0.00,0.00
1106353,16,20000659,2,2024,Kyle Anderson,MIN,SF,1,4,50.90,77,32,6.00,12.00,50.0,6.00,10.00,60.0,0.00,2.00,0,3.00,5.00,60.0,0.00,7.00,7.00,19.00,1.00,2.00,7.00,5.00,15.00,53.90,54.75,44.00,0.00,0.00
1106354,25,20000788,2,2024,Tim Hardaway Jr.,DAL,SF,0,2,33.00,38,46,7.00,21.00,33.3,3.00,6.00,50.0,4.00,15.00,26.7,2.00,3.00,66.7,0.00,5.00,5.00,4.00,2.00,0.00,3.00,0.00,20.00,35.00,36.75,7.00,0.00,0.00
1106355,16,20000840,2,2024,Rudy Gobert,MIN,C,4,4,75.10,83,45,11.00,17.00,64.7,11.00,16.00,68.8,0.00,1.00,0,8.00,11.00,72.7,5.00,23.00,28.00,3.00,1.00,4.00,3.00,6.00,30.00,80.10,78.00,32.00,0.00,0.00
1106356,25,20000841,2,2024,Dante Exum,DAL,PG,0,3,45.50,49,59,4.00,14.00,28.6,3.00,12.00,25.0,1.00,2.00,50.0,5.00,5.00,100,1.00,9.00,10.00,13.00,1.00,1.00,4.00,3.00,14.00,47.50,48.50,-13.00,0.00,0.00
1106357,25,20000848,2,2024,Markieff Morris,DAL,PF,0,2,15.20,13,45,2.00,7.00,28.6,0.00,1.00,0,2.00,6.00,33.3,1.00,3.00,33.3,0.00,1.00,1.00,2.00,1.00,1.00,0.00,0.00,7.00,17.20,16.25,2.00,0.00,0.00
1106358,25,20000933,2,2024,Seth Curry,DAL,SG,0,2,16.30,23,27,1.00,7.00,14.3,1.00,7.00,14.3,0.00,0.00,0,4.00,5.00,80.0,1.00,3.00,4.00,1.00,1.00,1.00,0.00,3.00,6.00,18.30,16.50,-6.00,0.00,0.00
1106359,25,20001389,2,2024,Richaun Holmes,DAL,PF,0,3,22.30,27,6,2.00,7.00,28.6,2.00,7.00,28.6,0.00,0.00,0,0.00,2.00,0,2.00,7.00,9.00,1.00,2.00,2.00,2.00,5.00,4.00,26.30,23.75,-6.00,0.00,0.00
1106360,16,20001431,2,2024,Karl-Anthony Towns,MIN,PF,3,3,77.40,61,46,18.00,39.00,46.2,11.00,21.00,52.4,7.00,18.00,38.9,8.00,10.00,80.0,2.00,10.00,12.00,6.00,2.00,3.00,7.00,7.00,51.00,82.40,85.00,9.00,0.00,0.00
1106361,25,20001796,2,2024,Derrick Jones Jr.,DAL,SF,1,2,18.90,24,50,4.00,7.00,57.1,2.00,4.00,50.0,2.00,3.00,66.7,1.00,1.00,100,0.00,2.00,2.00,1.00,1.00,1.00,0.00,1.00,11.00,20.90,20.00,12.00,0.00,0.00
1106362,25,20001909,2,2024,Maxi Kleber,DAL,C,0,3,16.20,36,29,3.00,8.00,37.5,2.00,4.00,50.0,1.00,4.00,25.0,2.00,2.00,100,2.00,4.00,6.00,0.00,0.00,0.00,0.00,0.00,9.00,16.20,17.00,-20.00,0.00,0.00
1106363,25,20001984,2,2024,Luka Doncic,DAL,PG,2,2,64.50,35,51,13.00,26.00,50.0,8.00,11.00,72.7,5.00,15.00,33.3,12.00,14.00,85.7,2.00,8.00,10.00,7.00,2.00,0.00,5.00,1.00,43.00,66.50,70.00,-14.00,0.00,0.00
1106364,16,20002002,2,2024,Troy Brown Jr.,MIN,SF,0,4,52.50,74,10,10.00,21.00,47.6,3.00,5.00,60.0,7.00,16.00,43.8,0.00,0.00,0,4.00,11.00,15.00,5.00,1.00,0.00,2.00,6.00,27.00,53.50,57.75,36.00,0.00,0.00
1106365,16,20002033,2,2024,Shake Milton,MIN,PG,1,4,61.80,79,28,14.00,23.00,60.9,10.00,14.00,71.4,4.00,9.00,44.4,0.00,0.00,0,0.00,9.00,9.00,14.00,1.00,1.00,6.00,10.00,32.00,63.80,67.25,40.00,0.00,0.00
1106366,16,20002127,2,2024,Jordan McLaughlin,MIN,PG,0,4,52.00,45,56,9.00,15.00,60.0,3.00,4.00,75.0,6.00,11.00,54.5,0.00,0.00,0,2.00,3.00,5.00,12.00,4.00,0.00,4.00,2.00,24.00,56.00,57.25,25.00,0.00,0.00
1106367,25,20002278,2,2024,Grant Williams,DAL,PF,3,3,42.20,61,51,6.00,21.00,28.6,1.00,3.00,33.3,5.00,18.00,27.8,0.00,0.00,0,0.00,11.00,11.00,6.00,1.00,2.00,3.00,8.00,17.00,45.20,46.75,2.00,0.00,0.00
1106368,16,20002285,2,2024,Nickeil Alexander-Walker,MIN,SG,4,4,59.30,78,24,9.00,26.00,34.6,1.00,3.00,33.3,8.00,23.00,34.8,2.00,2.00,100,1.00,8.00,9.00,7.00,3.00,3.00,2.00,11.00,28.00,65.30,64.75,-18.00,0.00,0.00
1106369,16,20002336,2,2024,Naz Reid,MIN,C,0,4,102.80,72,34,24.00,40.00,60.0,16.00,24.00,66.7,8.00,16.00,50.0,10.00,14.00,71.4,4.00,15.00,19.00,6.00,4.00,1.00,5.00,6.00,66.00,107.80,110.25,35.00,0.00,0.00
1106370,16,20002523,2,2024,Anthony Edwards,MIN,SG,3,3,73.00,64,14,18.00,40.00,45.0,11.00,24.00,45.8,7.00,16.00,43.8,6.00,8.00,75.0,2.00,13.00,15.00,6.00,0.00,2.00,7.00,3.00,49.00,75.00,80.75,10.00,0.00,0.00
1106371,25,20002543,2,2024,Josh Green,DAL,SF,2,3,51.30,64,45,13.00,24.00,54.2,7.00,14.00,50.0,6.00,10.00,60.0,2.00,3.00,66.7,1.00,8.00,9.00,3.00,3.00,1.00,6.00,1.00,34.00,55.30,57.75,24.00,0.00,0.00
1106372,16,20002553,2,2024,Jaden McDaniels,MIN,PF,1,1,17.50,19,18,2.00,8.00,25.0,1.00,5.00,20.0,1.00,3.00,33.3,4.00,4.00,100,1.00,4.00,5.00,1.00,0.00,1.00,1.00,3.00,9.00,18.50,18.75,8.00,0.00,0.00
1106373,16,20002562,2,2024,Vit Krejci,MIN,SG,0,1,7.90,7,24,1.00,1.00,100,0.00,0.00,0,1.00,1.00,100,1.00,2.00,50.0,0.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,4.00,7.90,8.50,-3.00,0.00,0.00
1106374,25,20002677,2,2024,Greg Brown III,DAL,PF,0,2,15.40,19,39,2.00,8.00,25.0,2.00,7.00,28.6,0.00,1.00,0,0.00,1.00,0,2.00,5.00,7.00,0.00,0.00,2.00,1.00,5.00,4.00,17.40,16.25,-8.00,0.00,0.00
1106375,25,20002682,2,2024,Joe Wieskamp,DAL,SG,0,2,5.00,8,43,1.00,1.00,100,0.00,0.00,0,1.00,1.00,100,0.00,0.00,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,6.00,5.50,3.00,0.00,0.00
1106376,16,20002684,2,2024,Luka Garza,MIN,C,0,4,67.40,43,6,15.00,30.00,50.0,13.00,23.00,56.5,2.00,7.00,28.6,4.00,5.00,80.0,9.00,8.00,17.00,4.00,2.00,1.00,1.00,4.00,36.00,70.40,69.75,-2.00,0.00,0.00
1106377,25,20002725,2,2024,A.J. Lawson,DAL,SG,0,3,33.40,31,59,5.00,15.00,33.3,3.00,9.00,33.3,2.00,6.00,33.3,2.00,5.00,40.0,3.00,9.00,12.00,0.00,2.00,1.00,1.00,0.00,14.00,36.40,35.50,0.00,0.00,0.00
1106378,16,20002766,2,2024,Daishen Nix,MIN,PG,0,3,9.30,17,39,1.00,3.00,33.3,0.00,1.00,0,1.00,2.00,50.0,2.00,2.00,100,1.00,3.00,4.00,3.00,0.00,0.00,5.00,2.00,5.00,9.30,12.50,-5.00,0.00,0.00
